fecha,valor_real,valor_predicho,error,error_absoluto
2023-10-26,19.26,17.735664,1.5243356323242203,1.5243356323242203
2023-10-27,18.6,18.810057,-0.21005668640136577,0.21005668640136577
2023-10-28,19.43,17.44491,1.9850899505615232,1.9850899505615232
2023-10-29,19.17,18.656971,0.5130290222167986,0.5130290222167986
2023-10-30,15.44,18.56688,-3.126879272460938,3.126879272460938
2023-10-31,15.57,15.846968,-0.2769676971435544,0.2769676971435544
2023-11-01,12.35,15.999591,-3.649590873718262,3.649590873718262
2023-11-02,14.59,13.972564,0.6174362564086913,0.6174362564086913
2023-11-03,16.11,15.626197,0.4838031387329096,0.4838031387329096
2023-11-04,15.29,16.245436,-0.9554357147216805,0.9554357147216805
2023-11-05,15.18,15.950431,-0.7704308700561526,0.7704308700561526
2023-11-06,16.66,16.044744,0.6152555084228517,0.6152555084228517
2023-11-07,18.24,17.327,0.9130003356933578,0.9130003356933578
2023-11-08,19.61,17.879347,1.7306531524658197,1.7306531524658197
2023-11-09,19.57,18.836227,0.7337725830078128,0.7337725830078128
2023-11-10,18.15,18.649054,-0.49905357360839986,0.49905357360839986
2023-11-11,16.73,18.10964,-1.3796401214599605,1.3796401214599605
2023-11-12,17.78,16.533117,1.2468827056884777,1.2468827056884777
2023-11-13,17.04,17.642237,-0.6022367095947274,0.6022367095947274
2023-11-14,16.27,16.773846,-0.5038456726074223,0.5038456726074223
2023-11-15,16.25,16.701313,-0.4513130187988281,0.4513130187988281
2023-11-16,15.82,16.685688,-0.8656880187988278,0.8656880187988278
2023-11-17,17.31,16.519207,0.7907929992675768,0.7907929992675768
2023-11-18,16.77,17.222246,-0.45224617004394574,0.45224617004394574
2023-11-19,17.84,16.560028,1.2799719238281249,1.2799719238281249
2023-11-20,18.49,17.628805,0.8611948394775375,0.8611948394775375
2023-11-21,16.0,17.549078,-1.5490779876708984,1.5490779876708984
2023-11-22,10.700000000000001,15.880623,-5.18062286376953,5.18062286376953
2023-11-23,14.57,13.725197,0.844803161621094,0.844803161621094
2023-11-24,15.740000000000002,15.209691,0.530308952331545,0.530308952331545
2023-11-25,15.67,16.628078,-0.9580784606933594,0.9580784606933594
2023-11-26,16.04,16.012522,0.027478256225585085,0.027478256225585085
2023-11-27,15.29,16.34275,-1.052750549316407,1.052750549316407
2023-11-28,15.67,15.846283,-0.17628295898437507,0.17628295898437507
2023-11-29,15.99,15.799936,0.19006370544433615,0.19006370544433615
2023-11-30,16.37,16.396732,-0.02673233032226463,0.02673233032226463
2023-12-01,15.08,15.899234,-0.8192338180541991,0.8192338180541991
2023-12-02,15.8,15.732037,0.06796340942382884,0.06796340942382884
2023-12-03,14.11,16.443573,-2.3335729980468756,2.3335729980468756
2023-12-04,13.99,14.7447605,-0.7547605133056638,0.7547605133056638
2023-12-05,14.23,14.642673,-0.4126725387573238,0.4126725387573238
2023-12-06,13.47,14.737008,-1.267008094787597,1.267008094787597
2023-12-07,13.04,13.893903,-0.8539027786254891,0.8539027786254891
2023-12-08,15.13,14.218744,0.9112557220458992,0.9112557220458992
2023-12-09,15.770000000000001,15.449855,0.3201451492309584,0.3201451492309584
2023-12-10,12.36,16.172245,-3.812245025634766,3.812245025634766
2023-12-11,11.38,13.15737,-1.7773696136474602,1.7773696136474602
2023-12-12,12.15,13.593551,-1.4435506820678707,1.4435506820678707
2023-12-13,12.1,13.636896,-1.536896133422852,1.536896133422852
2023-12-14,13.15,13.194472,-0.04447231292724574,0.04447231292724574
2023-12-15,15.1,13.788425,1.311574554443359,1.311574554443359
2023-12-16,14.3,14.985823,-0.685822677612304,0.685822677612304
2023-12-17,13.23,14.386657,-1.1566567611694332,1.1566567611694332
2023-12-18,11.889999999999999,14.322619,-2.432619438171388,2.432619438171388
2023-12-19,11.66,12.914668,-1.2546680831909178,1.2546680831909178
2023-12-20,13.58,13.169956,0.41004379272460945,0.41004379272460945
2023-12-21,13.26,13.77161,-0.5116102600097658,0.5116102600097658
2023-12-22,12.75,13.544133,-0.794133186340332,0.794133186340332
2023-12-23,13.51,13.447227,0.06277347564697244,0.06277347564697244
2023-12-24,14.08,14.419601,-0.33960144042968743,0.33960144042968743
2023-12-25,13.34,14.069721,-0.7297212219238283,0.7297212219238283
2023-12-26,12.36,13.981434,-1.6214338684082037,1.6214338684082037
2023-12-27,12.12,13.35676,-1.2367600250244148,1.2367600250244148
2023-12-28,12.37,13.46843,-1.0984295654296883,1.0984295654296883
2023-12-29,11.52,13.549028,-2.0290283966064457,2.0290283966064457
2023-12-30,11.01,12.668593,-1.6585934066772463,1.6585934066772463
2023-12-31,13.1,12.717553,0.3824468612670895,0.3824468612670895
2024-01-01,14.27,13.259985,1.0100150299072261,1.0100150299072261
2024-01-02,13.92,14.387079,-0.46707923889160163,0.46707923889160163
2024-01-03,14.72,13.510898,1.2091023635864264,1.2091023635864264
2024-01-04,13.84,14.606655,-0.7666551208496095,0.7666551208496095
2024-01-05,13.409999999999998,13.456644,-0.0466440582275407,0.0466440582275407
2024-01-06,14.009999999999998,13.612354,0.3976457214355449,0.3976457214355449
2024-01-07,13.26,14.262745,-1.0027449035644533,1.0027449035644533
2024-01-08,14.72,13.836919,0.8830811691284186,0.8830811691284186
2024-01-09,13.979999999999999,14.106819,-0.1268191528320326,0.1268191528320326
2024-01-10,13.8,14.886994,-1.0869943618774407,1.0869943618774407
2024-01-11,14.739999999999998,13.93392,0.8060800933837875,0.8060800933837875
2024-01-12,16.2,14.707227,1.492773246765136,1.492773246765136
2024-01-13,16.2,16.255474,-0.055474090576172586,0.055474090576172586
2024-01-14,15.83,15.701914,0.128086166381836,0.128086166381836
2024-01-15,15.94,16.141605,-0.20160537719726612,0.20160537719726612
2024-01-16,17.63,15.8861065,1.7438935089111318,1.7438935089111318
2024-01-17,15.740000000000002,17.011856,-1.2718560791015605,1.2718560791015605
2024-01-18,15.96,16.082708,-0.12270835876464758,0.12270835876464758
2024-01-19,16.26,15.991962,0.26803756713867344,0.26803756713867344
2024-01-20,13.409999999999998,15.667202,-2.257201995849611,2.257201995849611
2024-01-21,15.33,14.771974,0.5580263900756837,0.5580263900756837
2024-01-22,16.01,16.19701,-0.18701004028320156,0.18701004028320156
2024-01-23,16.23,15.911194,0.3188061523437504,0.3188061523437504
2024-01-24,16.33,16.268894,0.06110580444335767,0.06110580444335767
2024-01-25,16.71,16.087046,0.6229543304443368,0.6229543304443368
2024-01-26,16.27,16.740408,-0.47040794372558636,0.47040794372558636
2024-01-27,16.26,15.975832,0.28416801452636875,0.28416801452636875
2024-01-28,13.460000000000003,16.539913,-3.0799131774902317,3.0799131774902317
2024-01-29,11.86,13.896738,-2.0367380523681646,2.0367380523681646
2024-01-30,13.67,13.943898,-0.2738982009887696,0.2738982009887696
2024-01-31,15.57,14.821663,0.748337097167969,0.748337097167969
2024-02-01,15.7,16.10237,-0.4023693084716804,0.4023693084716804
2024-02-02,15.95,15.9301815,0.019818496704100852,0.019818496704100852
