fecha,valor_real,valor_predicho,error,error_absoluto
2023-10-26,19.26,18.415766,0.8442342376709,0.8442342376709
2023-10-27,18.6,19.289772,-0.6897720336914048,0.6897720336914048
2023-10-28,19.43,17.788906,1.6410939025878903,1.6410939025878903
2023-10-29,19.17,19.24391,-0.07390983581542798,0.07390983581542798
2023-10-30,15.44,19.183153,-3.743153152465821,3.743153152465821
2023-10-31,15.57,16.005995,-0.4359947967529294,0.4359947967529294
2023-11-01,12.35,16.176315,-3.826315307617188,3.826315307617188
2023-11-02,14.59,13.696641,0.893359031677246,0.893359031677246
2023-11-03,16.11,15.523839,0.5861610031127924,0.5861610031127924
2023-11-04,15.29,16.182545,-0.892544708251954,0.892544708251954
2023-11-05,15.18,15.872132,-0.6921323013305667,0.6921323013305667
2023-11-06,16.66,15.982689,0.6773110961914064,0.6773110961914064
2023-11-07,18.24,17.283552,0.9564478302001937,0.9564478302001937
2023-11-08,19.61,18.094574,1.5154260253906244,1.5154260253906244
2023-11-09,19.57,19.290747,0.27925331115722685,0.27925331115722685
2023-11-10,18.15,19.291653,-1.1416526794433608,1.1416526794433608
2023-11-11,16.73,18.619738,-1.8897376251220699,1.8897376251220699
2023-11-12,17.78,16.688341,1.0916588592529308,1.0916588592529308
2023-11-13,17.04,17.923998,-0.8839978790283212,0.8839978790283212
2023-11-14,16.27,16.937548,-0.6675476837158207,0.6675476837158207
2023-11-15,16.25,16.725027,-0.47502708435058594,0.47502708435058594
2023-11-16,15.82,16.703617,-0.8836170959472653,0.8836170959472653
2023-11-17,17.31,16.612957,0.6970429992675768,0.6970429992675768
2023-11-18,16.77,17.525024,-0.7550244140625004,0.7550244140625004
2023-11-19,17.84,16.80684,1.0331591033935545,1.0331591033935545
2023-11-20,18.49,18.030087,0.45991348266601406,0.45991348266601406
2023-11-21,16.0,18.025145,-2.025144577026367,2.025144577026367
2023-11-22,10.700000000000001,16.079542,-5.379542160034179,5.379542160034179
2023-11-23,14.57,13.5102215,1.059778518676758,1.059778518676758
2023-11-24,15.740000000000002,14.94267,0.7973301315307637,0.7973301315307637
2023-11-25,15.67,16.158693,-0.4886933135986329,0.4886933135986329
2023-11-26,16.04,15.924696,0.11530403137206946,0.11530403137206946
2023-11-27,15.29,16.213947,-0.923947296142579,0.923947296142579
2023-11-28,15.67,15.651346,0.018653793334960866,0.018653793334960866
2023-11-29,15.99,15.393671,0.5963289642333987,0.5963289642333987
2023-11-30,16.37,16.287941,0.08205902099609474,0.08205902099609474
2023-12-01,15.08,15.826342,-0.7463416290283202,0.7463416290283202
2023-12-02,15.8,15.456299,0.3437011718750007,0.3437011718750007
2023-12-03,14.11,16.258032,-2.148031845092774,2.148031845092774
2023-12-04,13.99,14.668106,-0.6781060791015623,0.6781060791015623
2023-12-05,14.23,14.557208,-0.3272080612182613,0.3272080612182613
2023-12-06,13.47,14.711308,-1.241307525634765,1.241307525634765
2023-12-07,13.04,13.961009,-0.9210090255737313,0.9210090255737313
2023-12-08,15.13,14.644261,0.48573863983154375,0.48573863983154375
2023-12-09,15.770000000000001,15.0957365,0.6742634963989271,0.6742634963989271
2023-12-10,12.36,15.819076,-3.4590755844116217,3.4590755844116217
2023-12-11,11.38,13.363829,-1.9838286590576164,1.9838286590576164
2023-12-12,12.15,13.825964,-1.675963973999023,1.675963973999023
2023-12-13,12.1,13.607004,-1.5070041656494144,1.5070041656494144
2023-12-14,13.15,13.462034,-0.31203422546386683,0.31203422546386683
2023-12-15,15.1,14.045992,1.0540081024169918,1.0540081024169918
2023-12-16,14.3,14.984651,-0.6846506118774407,0.6846506118774407
2023-12-17,13.23,14.480559,-1.2505593490600582,1.2505593490600582
2023-12-18,11.889999999999999,14.403994,-2.513993606567384,2.513993606567384
2023-12-19,11.66,13.498719,-1.8387192153930663,1.8387192153930663
2023-12-20,13.58,13.664136,-0.08413593292236321,0.08413593292236321
2023-12-21,13.26,14.237014,-0.9770138168334963,0.9770138168334963
2023-12-22,12.75,14.04785,-1.2978496551513672,1.2978496551513672
2023-12-23,13.51,13.838399,-0.32839893341064474,0.32839893341064474
2023-12-24,14.08,14.49465,-0.41464988708496087,0.41464988708496087
2023-12-25,13.34,14.307556,-0.9675561523437501,0.9675561523437501
2023-12-26,12.36,14.344993,-1.984992637634278,1.984992637634278
2023-12-27,12.12,13.8621,-1.7420996475219734,1.7420996475219734
2023-12-28,12.37,13.752242,-1.3822420883178719,1.3822420883178719
2023-12-29,11.52,13.880911,-2.3609108734130864,2.3609108734130864
2023-12-30,11.01,13.262471,-2.2524711990356447,2.2524711990356447
2023-12-31,13.1,13.19824,-0.09824028015136754,0.09824028015136754
2024-01-01,14.27,13.775751,0.494248886108398,0.494248886108398
2024-01-02,13.92,14.651471,-0.7314711380004884,0.7314711380004884
2024-01-03,14.72,14.137104,0.5828959655761725,0.5828959655761725
2024-01-04,13.84,14.853569,-1.013569030761719,1.013569030761719
2024-01-05,13.409999999999998,13.966977,-0.5569771194458024,0.5569771194458024
2024-01-06,14.009999999999998,13.985162,0.024838218688962854,0.024838218688962854
2024-01-07,13.26,14.476172,-1.21617244720459,1.21617244720459
2024-01-08,14.72,14.237448,0.4825522613525397,0.4825522613525397
2024-01-09,13.979999999999999,14.240011,-0.2600112152099623,0.2600112152099623
2024-01-10,13.8,14.978228,-1.1782276153564446,1.1782276153564446
2024-01-11,14.739999999999998,14.214495,0.5255052947998031,0.5255052947998031
2024-01-12,16.2,14.943025,1.2569753646850579,1.2569753646850579
2024-01-13,16.2,16.469097,-0.2690971374511726,0.2690971374511726
2024-01-14,15.83,16.063177,-0.23317710876464837,0.23317710876464837
2024-01-15,15.94,16.412954,-0.47295433044433643,0.47295433044433643
2024-01-16,17.63,15.987693,1.6423071670532217,1.6423071670532217
2024-01-17,15.740000000000002,17.339577,-1.5995767211914043,1.5995767211914043
2024-01-18,15.96,16.212143,-0.25214294433593665,0.25214294433593665
2024-01-19,16.26,16.063936,0.19606376647949375,0.19606376647949375
2024-01-20,13.409999999999998,15.731855,-2.3218553924560563,2.3218553924560563
2024-01-21,15.33,14.652674,0.6773262786865235,0.6773262786865235
2024-01-22,16.01,15.721724,0.2882764434814469,0.2882764434814469
2024-01-23,16.23,15.655679,0.5743212509155278,0.5743212509155278
2024-01-24,16.33,15.949425,0.38057525634765454,0.38057525634765454
