target_col,config,mae,rmse
T2M,large_gru,0.9039906698671829,1.1751407896778436
T2M,base,0.9431498548230177,1.2097769253014012
T2M,balanced,1.0002346865189269,1.2935271220517752
T2M,dropout_low,1.1391403375321665,1.3822953770589015
T2M,small_gru,1.0991325796008384,1.3835448478474945
T2M,dropout_high,1.2559746274882047,1.6686449535310182
WS2M,balanced,0.48380331684755673,0.6279057487501858
WS2M,large_gru,0.4849750998058715,0.6308109246891804
WS2M,small_gru,0.4860991019189495,0.6308875628036413
WS2M,base,0.48850650147532754,0.6310830154600942
WS2M,dropout_high,0.4855679171079851,0.6315196669382382
WS2M,dropout_low,0.4930660321806099,0.6384061822807451
