fecha,valor_real,valor_predicho,error,error_absoluto
2023-10-26,0.65,1.4338293,-0.7838293075561523,0.7838293075561523
2023-10-27,2.64,1.3411686,1.2988313579559327,1.2988313579559327
2023-10-28,2.1399999999999997,2.4516227,-0.3116227245330814,0.3116227245330814
2023-10-29,1.57,1.7469169,-0.17691689014434808,0.17691689014434808
2023-10-30,2.62,1.6764355,0.9435645294189454,0.9435645294189454
2023-10-31,2.7400000000000007,2.163508,0.5764920616149909,0.5764920616149909
2023-11-01,3.4799999999999995,2.1161551,1.3638448524475093,1.3638448524475093
2023-11-02,2.49,2.4107773,0.07922266960144064,0.07922266960144064
2023-11-03,2.5399999999999996,1.9040551,0.6359448814392086,0.6359448814392086
2023-11-04,2.55,2.1100967,0.4399033069610594,0.4399033069610594
2023-11-05,2.17,1.9805256,0.1894743871688842,0.1894743871688842
2023-11-06,1.22,1.8181537,-0.5981537389755249,0.5981537389755249
2023-11-07,1.33,1.4565564,-0.12655643939971917,0.12655643939971917
2023-11-08,1.2,1.5947348,-0.39473478794097905,0.39473478794097905
2023-11-09,1.3700000000000003,1.5317684,-0.16176844120025602,0.16176844120025602
2023-11-10,0.98,1.5734917,-0.5934916925430298,0.5934916925430298
2023-11-11,2.39,1.3632743,1.026725664138794,1.026725664138794
2023-11-12,1.8899999999999997,2.102632,-0.21263204574584993,0.21263204574584993
2023-11-13,2.49,1.6366608,0.8533391857147219,0.8533391857147219
2023-11-14,2.35,2.239619,0.11038098335266122,0.11038098335266122
2023-11-15,2.13,1.8407965,0.28920352935791005,0.28920352935791005
2023-11-16,1.59,1.8131628,-0.22316280364990226,0.22316280364990226
2023-11-17,1.34,1.6007572,-0.2607572412490844,0.2607572412490844
2023-11-18,2.0299999999999994,1.601435,0.4285650539398187,0.4285650539398187
2023-11-19,1.41,1.8948462,-0.48484620094299324,0.48484620094299324
2023-11-20,2.0099999999999993,1.5956231,0.4143768644332879,0.4143768644332879
2023-11-21,3.04,1.8839122,1.156087794303894,1.156087794303894
2023-11-22,2.22,2.3609333,-0.14093330383300762,0.14093330383300762
2023-11-23,2.1899999999999995,1.6164316,0.573568406105041,0.573568406105041
2023-11-24,1.28,1.8866916,-0.6066915702819824,0.6066915702819824
2023-11-25,1.49,1.4111798,0.07882021903991698,0.07882021903991698
2023-11-26,1.4399999999999997,1.6973175,-0.25731748104095487,0.25731748104095487
2023-11-27,1.48,1.5470711,-0.06707109928131105,0.06707109928131105
2023-11-28,2.2799999999999994,1.5617486,0.7182513761520379,0.7182513761520379
2023-11-29,1.29,1.8783624,-0.5883624172210693,0.5883624172210693
2023-11-30,2.27,1.3900831,0.8799169254302979,0.8799169254302979
2023-12-01,2.09,2.0628014,0.027198638916015483,0.027198638916015483
2023-12-02,1.13,1.7063915,-0.5763914537429811,0.5763914537429811
2023-12-03,1.8999999999999997,1.3896333,0.5103667020797726,0.5103667020797726
2023-12-04,2.1599999999999997,1.890435,0.26956501960754364,0.26956501960754364
2023-12-05,2.0099999999999993,1.8042297,0.20577026367187434,0.20577026367187434
2023-12-06,3.11,1.71502,1.3949800586700438,1.3949800586700438
2023-12-07,1.18,2.2879682,-1.107968158721924,1.107968158721924
2023-12-08,1.42,1.273365,0.1466349792480468,0.1466349792480468
2023-12-09,0.89,1.4780712,-0.5880712127685547,0.5880712127685547
2023-12-10,3.04,1.3054973,1.7345027112960816,1.7345027112960816
2023-12-11,1.3499999999999999,2.451831,-1.101831102371216,1.101831102371216
2023-12-12,1.69,1.3521281,0.3378718519210815,0.3378718519210815
2023-12-13,2.2,1.5074646,0.6925353527069094,0.6925353527069094
2023-12-14,2.13,1.8694147,0.26058531284332265,0.26058531284332265
2023-12-15,1.7,1.6884824,0.011517596244811967,0.011517596244811967
2023-12-16,2.29,1.4913715,0.7986284875869751,0.7986284875869751
2023-12-17,1.54,1.8818982,-0.3418981647491455,0.3418981647491455
2023-12-18,2.18,1.3830187,0.7969812679290773,0.7969812679290773
2023-12-19,1.51,1.8929012,-0.3829011821746826,0.3829011821746826
2023-12-20,1.61,1.4733245,0.13667546272277842,0.13667546272277842
2023-12-21,2.15,1.6567513,0.4932487249374389,0.4932487249374389
2023-12-22,2.4799999999999995,1.8308613,0.6491386699676509,0.6491386699676509
2023-12-23,1.38,1.8838364,-0.5038363885879518,0.5038363885879518
2023-12-24,2.1599999999999997,1.4217337,0.7382662630081174,0.7382662630081174
2023-12-25,1.67,1.9652065,-0.2952065038681031,0.2952065038681031
2023-12-26,1.72,1.4879004,0.23209962368011472,0.23209962368011472
2023-12-27,1.5600000000000003,1.5950446,-0.03504461288452121,0.03504461288452121
2023-12-28,1.19,1.4148514,-0.22485142707824712,0.22485142707824712
2023-12-29,1.61,1.3844378,0.22556220054626475,0.22556220054626475
2023-12-30,1.2,1.6141393,-0.41413931846618657,0.41413931846618657
2023-12-31,1.62,1.3875343,0.2324657392501832,0.2324657392501832
2024-01-01,0.7199999999999999,1.6389756,-0.9189756202697755,0.9189756202697755
2024-01-02,1.8499999999999996,1.3658779,0.4841221332550045,0.4841221332550045
2024-01-03,1.2,1.8271091,-0.6271090984344483,0.6271090984344483
2024-01-04,2.6,1.4046361,1.1953638553619386,1.1953638553619386
2024-01-05,2.89,2.0881639,0.8018361473083497,0.8018361473083497
2024-01-06,2.2099999999999995,2.0801895,0.1298105335235591,0.1298105335235591
2024-01-07,1.8700000000000003,1.8371127,0.03288733482360873,0.03288733482360873
2024-01-08,3.53,1.872192,1.6578079748153685,1.6578079748153685
2024-01-09,1.7999999999999998,2.5233362,-0.723336172103882,0.723336172103882
2024-01-10,2.68,1.5291328,1.150867156982422,1.150867156982422
