fecha,valor_real,valor_predicho,error,error_absoluto
2024-06-02,18.445516,18.368958,0.07655848046875136,0.07655848046875136
2024-06-03,19.12908,18.386028,0.7430517102050764,0.7430517102050764
2024-06-04,19.432706,18.654459,0.7782470003662105,0.7782470003662105
2024-06-05,19.057103,18.990206,0.06689723522949365,0.06689723522949365
2024-06-06,19.060509,19.031029,0.029480252441405952,0.029480252441405952
2024-06-07,19.747346,18.980762,0.7665835183105472,0.7665835183105472
2024-06-08,19.912969,19.281658,0.6313108273925785,0.6313108273925785
2024-06-09,19.912969,19.710445,0.202523595947266,0.202523595947266
2024-06-10,19.762465,19.875212,-0.11274671569824335,0.11274671569824335
2024-06-11,19.795642,19.826344,-0.030701536376952276,0.030701536376952276
2024-06-12,20.38027,19.789618,0.590652461547851,0.590652461547851
2024-06-13,19.929468,20.071133,-0.14166465991210941,0.14166465991210941
2024-06-14,19.704368,20.067366,-0.3629976463623059,0.3629976463623059
2024-06-15,19.79396,19.868362,-0.07440242675781406,0.07440242675781406
2024-06-16,19.79396,19.785322,0.008637810668943757,0.008637810668943757
2024-06-17,19.8647,19.786575,0.07812468261718664,0.07812468261718664
2024-06-18,19.733825,19.83121,-0.09738418273925831,0.09738418273925831
2024-06-19,19.799315,19.79208,0.007235074462890623,0.007235074462890623
2024-06-20,19.724636,19.780144,-0.05550773779296847,0.05550773779296847
2024-06-21,19.454084,19.75068,-0.29659692346191235,0.29659692346191235
2024-06-22,19.386125,19.60118,-0.21505412292480486,0.21505412292480486
2024-06-23,19.385385,19.46613,-0.0807443029785162,0.0807443029785162
2024-06-24,19.339984,19.420618,-0.08063405725097539,0.08063405725097539
2024-06-25,19.443124,19.383356,0.0597679056396494,0.0597679056396494
2024-06-26,19.445732,19.400227,0.04550540698242145,0.04550540698242145
2024-06-27,19.646883,19.423296,0.22358702526855367,0.22358702526855367
2024-06-28,19.554311,19.536806,0.01750489343261563,0.01750489343261563
2024-06-29,19.658569,19.570526,0.08804287695312496,0.08804287695312496
2024-06-30,19.658676,19.611675,0.04700073754882794,0.04700073754882794
2024-07-01,19.764097,19.641212,0.12288453662109333,0.12288453662109333
2024-07-02,19.583278,19.704296,-0.12101811206054691,0.12101811206054691
2024-07-03,19.599613,19.658012,-0.058399390136717244,0.058399390136717244
2024-07-04,19.53951,19.615316,-0.075806390991211,0.075806390991211
2024-07-05,19.636813,19.573923,0.06288988903808601,0.06288988903808601
2024-07-06,19.657129,19.600266,0.056863497070313684,0.056863497070313684
2024-07-07,19.657129,19.637978,0.019151399902344934,0.019151399902344934
2024-07-08,19.506369,19.653978,-0.1476093477783209,0.1476093477783209
2024-07-09,19.405418,19.583553,-0.17813531420898343,0.17813531420898343
